0.16,0.28,0.49,0.31,0.98,0.07,0.9,0.01
0.01,0.29,0.45,0.08,0.85,0.27,0.55,0.33
0.11,0.32,0.06,0.22,0.6599999999999999,0.19,0.54,0.15
0.37,0.32,0.36,0.26,0.65,0.34,0.78,0.05
0.3,0.26,0.17,0.5,0.5800000000000001,0.35,0.63,0.1
0.0,0.26,0.31,0.5,0.99,0.26,0.73,0.34
0.11,0.37,0.04,0.12,0.73,0.35,0.75,0.37
0.4,0.24,0.18,0.43,0.6599999999999999,0.2,0.53,0.12
0.21,0.12,0.39,0.24,0.51,0.2,0.54,0.25
0.27,0.12,0.21,0.14,0.7,0.45,0.73,0.14
0.13,0.37,0.34,0.19,0.91,0.02,0.72,0.32
0.28,0.29,0.09,0.39,0.73,0.06,0.71,0.4
0.31,0.25,0.11,0.33,0.61,0.47,0.74,0.21
0.0,0.31,0.03,0.4,0.64,0.4,0.62,0.22
0.06,0.4,0.27,0.07,0.6799999999999999,0.49,0.69,0.5
0.17,0.23,0.37,0.3,0.69,0.3,0.61,0.27
0.21,0.34,0.21,0.04,0.61,0.02,0.5700000000000001,0.41
0.03,0.26,0.08,0.26,0.95,0.04,0.56,0.29
0.08,0.23,0.07,0.46,0.6,0.24,0.91,0.41
0.38,0.29,0.4,0.44,0.98,0.41,0.98,0.48
0.24,0.5,0.13,0.07,0.72,0.47,0.69,0.02
0.42,0.22,0.36,0.45,0.54,0.28,0.56,0.34
0.34,0.05,0.0,0.33,0.98,0.2,0.9,0.18
0.27,0.14,0.17,0.12,0.6599999999999999,0.15,0.96,0.0
0.05,0.03,0.22,0.16,0.51,0.3,0.62,0.46
0.08,0.26,0.42,0.43,0.54,0.19,0.53,0.11
0.21,0.14,0.48,0.24,0.53,0.2,0.87,0.33
0.25,0.5,0.29,0.45,0.64,0.38,0.9299999999999999,0.22
0.14,0.02,0.12,0.11,0.6799999999999999,0.0,0.8200000000000001,0.43
0.29,0.33,0.07,0.11,0.9,0.12,0.65,0.2
0.11,0.44,0.38,0.2,0.69,0.09,0.72,0.1
0.5,0.48,0.47,0.05,1.0,0.28,0.6799999999999999,0.24
0.34,0.09,0.41,0.19,0.52,0.45,0.5,0.45
0.22,0.22,0.46,0.11,0.5900000000000001,0.5,0.6699999999999999,0.18
0.05,0.38,0.22,0.14,0.65,0.13,0.95,0.05
0.26,0.43,0.41,0.4,0.62,0.16,0.99,0.16
0.31,0.38,0.35,0.02,0.6699999999999999,0.17,0.52,0.04
